ID,LPAR,RPAR,LBRACE,RBRACE,COMMA,RETURN,SEMI,IF,ELSE,WHILE,OR,AND,EQ,NEQ,LT,GT,LE,GE,PLUS,MINUS,TIMES,DIVIDE,NOT,TRUE,FALSE,NUMBER,$,S',Program,Function,Params,Body,StmtList,Stmt,StmtReturn,StmtIf,StmtWhile,StmtExpr,Block,Expr,ExprOr,ExprAnd,ExprEq,ExprAdd,ExprMul,ExprUnary,ExprPrimary,FuncArgs
r3,r3,,,,,,,,,,,,,,,,,,,r3,,,r3,r3,r3,r3,r3,,s1,,,,,,,,,,,,,,,,,,,
s4,s18,,,,,,,,,,,,,,,,,,,s13,,,s12,s15,s16,s17,r0,,,s2,,,,,,,,s3,,s5,s6,s7,s8,s9,s10,s11,s14,
r1,r1,,,,,,,,,,,,,,,,,,,r1,,,r1,r1,r1,r1,r1,,,,,,,,,,,,,,,,,,,,,
r2,r2,,,,,,,,,,,,,,,,,,,r2,,,r2,r2,r2,r2,r2,,,,,,,,,,,,,,,,,,,,,
,s19,,,,,,r46,,,,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,s20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,r22,,,,s21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,r24,,,,r24,s22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,r26,,,,r26,r26,s23,s24,s25,s26,s27,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,r33,,,,r33,r33,r33,r33,r33,r33,r33,r33,s29,s30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,r36,,,,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,r39,,,,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,
s34,s18,,,,,,,,,,,,,,,,,,,s13,,,s12,s15,s16,s17,,,,,,,,,,,,,,,,,,,,s33,s14,
s34,s18,,,,,,,,,,,,,,,,,,,s13,,,s12,s15,s16,s17,,,,,,,,,,,,,,,,,,,,s35,s14,
,,,,,,,r42,,,,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,r43,,,,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,r44,,,,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,
